ключ,где на сайте,русский,узбекский,исправление
mock.report.finish.alternatives.0.direction,Тестовый режим ИИ — образец полного отчёта,Свой небольшой цифровой продукт (сервис по подписке или шаблоны),Oʻzingizning kichik raqamli mahsulotingiz (obunali xizmat yoki shablonlar),
mock.report.finish.alternatives.0.why_you,Тестовый режим ИИ — образец полного отчёта,"У вас высокая открытость, предприимчивость (E) в коде интересов и свобода на первом месте. Навыки дизайна и no-code позволяют самому собрать простой продукт — например, шаблоны для Telegram-магазинов или сервис записи для салонов — без команды программистов.","Yangilikka ochiqligingiz yuqori, qiziqishlar kodingizda tadbirkorlik (E) bor, erkinlik esa birinchi oʻrinda. Dizayn va kod yozmasdan ilova yigʻish mahorati bilan dasturchilarsiz oddiy mahsulotni oʻzingiz yigʻa olasiz — masalan, Telegram doʻkonlari uchun shablonlar yoki salonlarga yozilish xizmati.",
mock.report.finish.alternatives.0.potential,Тестовый режим ИИ — образец полного отчёта,"Продукт работает, даже когда вы отдыхаете: при удаче доход может обогнать фриланс и перестать зависеть от часов работы. Реалистично — ориентировочно $200–1000 в месяц в первый год, если найдёте свою нишу.","Mahsulot siz dam olayotganingizda ham ishlaydi: omadingiz kelsa, daromad frilansdan oshib ketadi va ish soatlaringizga bogʻliq boʻlmay qoladi. Real baho — oʻz boʻshligʻingizni topsangiz, birinchi yili oyiga taxminan $200–1000.",
mock.report.finish.alternatives.0.first_steps.0,Тестовый режим ИИ — образец полного отчёта,Выпишите 10 повторяющихся проблем знакомых предпринимателей,Tanish tadbirkorlarning takrorlanib turadigan 10 ta muammosini yozib chiqing,
mock.report.finish.alternatives.0.first_steps.1,Тестовый режим ИИ — образец полного отчёта,За два выходных соберите на no-code прототип решения одной из них,Ulardan birining yechimini ikki dam olish kunida kod yozmasdan yigʻib koʻring,
mock.report.finish.alternatives.0.first_steps.2,Тестовый режим ИИ — образец полного отчёта,"Покажите его 5 людям и спросите, готовы ли они платить","Uni 5 kishiga koʻrsatib, pul toʻlashga tayyormi yoki yoʻqmi — soʻrang",
mock.report.finish.act_now.0,Тестовый режим ИИ — образец полного отчёта,Сегодня: установите Figma и пройдите первый бесплатный урок по интерфейсам (1–2 часа),Bugun: Figmaʼni oʻrnating va interfeys boʻyicha birinchi bepul darsni oʻting (1–2 soat),
mock.report.finish.act_now.1,Тестовый режим ИИ — образец полного отчёта,На этой неделе: выберите одно местное заведение и сделайте редизайн его главного экрана — это первая работа в портфолио,Shu hafta: bitta mahalliy muassasani tanlang va uning bosh sahifasini qayta chizing — bu portfoliodagi birinchi ish boʻladi,
mock.report.finish.act_now.2,Тестовый режим ИИ — образец полного отчёта,"Заведите таблицу прогресса: часы в неделю, навыки, работы в портфолио","Oʻsish jadvalini yuriting: haftalik soatlar, oʻrgangan narsalar, portfoliodagi ishlar",
mock.report.finish.act_now.3,Тестовый режим ИИ — образец полного отчёта,Запишитесь в разговорный клуб английского или найдите партнёра по языку,Ingliz tili suhbat klubiga yoziling yoki til boʻyicha sherik toping,
mock.report.finish.act_now.4,Тестовый режим ИИ — образец полного отчёта,"Подпишитесь на 3 Telegram-канала с заказами для дизайнеров и понаблюдайте, что просят и сколько платят","Dizaynerlar uchun buyurtmalar chiqadigan 3 ta Telegram kanalga obuna boʻling va nimalar soʻralayotgani, qancha toʻlanayotganini kuzatib boring",
mock.report.finish.disclaimer,Тестовый режим ИИ — образец полного отчёта,Рекомендации носят информационный характер и не являются гарантией трудоустройства или дохода. Суммы и сроки ориентировочные. Финальное решение — за вами.,Tavsiyalar maʼlumot uchun berilgan va ishga joylashish yoki daromadni kafolatlamaydi. Summalar va muddatlar taxminiy. Yakuniy qaror sizniki.,
survey.about.title,Контекстный опрос (/survey) — текст вопросов из data/tests/context_survey.json,О вас,Siz haqingizda,
survey.age.text,Контекстный опрос (/survey) — текст вопросов из data/tests/context_survey.json,Сколько вам лет?,Yoshingiz nechada?,
survey.gender.text,Контекстный опрос (/survey) — текст вопросов из data/tests/context_survey.json,Ваш пол,Jinsingiz,
survey.gender.option.m,Контекстный опрос (/survey) — текст вопросов из data/tests/context_survey.json,Мужской,Erkak,
survey.gender.option.f,Контекстный опрос (/survey) — текст вопросов из data/tests/context_survey.json,Женский,Ayol,
survey.gender.option.na,Контекстный опрос (/survey) — текст вопросов из data/tests/context_survey.json,Не указывать,Koʻrsatmaslik,
survey.status.text,Контекстный опрос (/survey) — текст вопросов из data/tests/context_survey.json,Ваша текущая ситуация,Hozir nima bilan bandsiz?,
survey.status.option.school,Контекстный опрос (/survey) — текст вопросов из data/tests/context_survey.json,Школьник / выпускник школы,Maktab oʻquvchisi / bitiruvchi,
survey.status.option.student,Контекстный опрос (/survey) — текст вопросов из data/tests/context_survey.json,Студент,Talaba,
survey.status.option.working,Контекстный опрос (/survey) — текст вопросов из data/tests/context_survey.json,Работаю,Ishlayapman,
survey.status.option.not_working,Контекстный опрос (/survey) — текст вопросов из data/tests/context_survey.json,Сейчас не работаю и не учусь,Hozir ishlamayman va oʻqimayman,
survey.resources.title,Контекстный опрос (/survey) — текст вопросов из data/tests/context_survey.json,Ваши возможности (где вы сейчас),Imkoniyatlaringiz (hozir qayerdasiz),
survey.budget.text,Контекстный опрос (/survey) — текст вопросов из data/tests/context_survey.json,Сколько вы примерно готовы вложить в обучение (в год)?,Oʻqishga yiliga taxminan qancha pul ajrata olasiz?,
survey.budget.option.none,Контекстный опрос (/survey) — текст вопросов из data/tests/context_survey.json,Пока нет бюджета,Hozircha byudjet yoʻq,
survey.budget.option.low,Контекстный опрос (/survey) — текст вопросов из data/tests/context_survey.json,До 5 млн сум,5 mln soʻmgacha,
survey.budget.option.mid,Контекстный опрос (/survey) — текст вопросов из data/tests/context_survey.json,5–20 млн сум,5–20 mln soʻm,
survey.budget.option.high,Контекстный опрос (/survey) — текст вопросов из data/tests/context_survey.json,20–50 млн сум,20–50 mln soʻm,
survey.budget.option.very_high,Контекстный опрос (/survey) — текст вопросов из data/tests/context_survey.json,Более 50 млн сум,50 mln soʻmdan koʻp,
survey.hours.text,Контекстный опрос (/survey) — текст вопросов из data/tests/context_survey.json,Сколько времени в неделю вы можете уделять учёбе/развитию?,Haftasiga oʻqish va oʻz ustingizda ishlashga qancha vaqt ajrata olasiz?,
survey.hours.option.<5,Контекстный опрос (/survey) — текст вопросов из data/tests/context_survey.json,Меньше 5 часов,5 soatdan kam,
survey.hours.option.5-10,Контекстный опрос (/survey) — текст вопросов из data/tests/context_survey.json,5–10 часов,5–10 soat,
survey.hours.option.10-20,Контекстный опрос (/survey) — текст вопросов из data/tests/context_survey.json,10–20 часов,10–20 soat,
survey.hours.option.20-40,Контекстный опрос (/survey) — текст вопросов из data/tests/context_survey.json,20–40 часов,20–40 soat,
survey.hours.option.40+,Контекстный опрос (/survey) — текст вопросов из data/tests/context_survey.json,Более 40 часов,40 soatdan koʻp,
survey.languages.text,Контекстный опрос (/survey) — текст вопросов из data/tests/context_survey.json,Какими языками вы владеете?,Qaysi tillarni bilasiz?,
survey.languages.option.uz,Контекстный опрос (/survey) — текст вопросов из data/tests/context_survey.json,Узбекский,Oʻzbek,
survey.languages.option.ru,Контекстный опрос (/survey) — текст вопросов из data/tests/context_survey.json,Русский,Rus,
survey.languages.option.en,Контекстный опрос (/survey) — текст вопросов из data/tests/context_survey.json,Английский,Ingliz,
survey.languages.option.other,Контекстный опрос (/survey) — текст вопросов из data/tests/context_survey.json,Другой,Boshqa,
survey.english_level.text,Контекстный опрос (/survey) — текст вопросов из data/tests/context_survey.json,Ваш уровень английского,Ingliz tilini qay darajada bilasiz?,
survey.english_level.option.none,Контекстный опрос (/survey) — текст вопросов из data/tests/context_survey.json,Не владею,Bilmayman,
survey.english_level.option.basic,Контекстный опрос (/survey) — текст вопросов из data/tests/context_survey.json,Базовый,Boshlangʻich,
survey.english_level.option.intermediate,Контекстный опрос (/survey) — текст вопросов из data/tests/context_survey.json,Средний,Oʻrta,
survey.english_level.option.advanced,Контекстный опрос (/survey) — текст вопросов из data/tests/context_survey.json,Свободный,Erkin,
survey.relocation.text,Контекстный опрос (/survey) — текст вопросов из data/tests/context_survey.json,Готовы ли вы к переезду ради учёбы или работы?,Oʻqish yoki ish uchun boshqa joyga koʻchib oʻtishga tayyormisiz?,
survey.relocation.option.no,Контекстный опрос (/survey) — текст вопросов из data/tests/context_survey.json,"Нет, только там, где живу","Yoʻq, faqat yashaydigan joyimda",
survey.relocation.option.within_country,Контекстный опрос (/survey) — текст вопросов из data/tests/context_survey.json,"Да, в пределах Узбекистана","Ha, Oʻzbekiston ichida",
survey.relocation.option.abroad,Контекстный опрос (/survey) — текст вопросов из data/tests/context_survey.json,"Да, в том числе за рубеж","Ha, chet elga ham",
survey.online_ok.text,Контекстный опрос (/survey) — текст вопросов из data/tests/context_survey.json,Готовы ли вы учиться онлайн?,Onlayn oʻqishga tayyormisiz?,
survey.online_ok.option.yes,Контекстный опрос (/survey) — текст вопросов из data/tests/context_survey.json,Да,Ha,
survey.online_ok.option.maybe,Контекстный опрос (/survey) — текст вопросов из data/tests/context_survey.json,Возможно,Balki,
survey.online_ok.option.no,Контекстный опрос (/survey) — текст вопросов из data/tests/context_survey.json,Предпочитаю очно,Yuzma-yuz afzal,
survey.experience.text,Контекстный опрос (/survey) — текст вопросов из data/tests/context_survey.json,Есть ли у вас опыт работы или навыки в какой-либо сфере?,Biror sohada ish tajribangiz yoki qoʻlingizdan keladigan ishingiz bormi?,
survey.experience.option.none,Контекстный опрос (/survey) — текст вопросов из data/tests/context_survey.json,Нет опыта,Tajriba yoʻq,
survey.experience.option.some,Контекстный опрос (/survey) — текст вопросов из data/tests/context_survey.json,"Немного, начинающий","Bir oz, boshlangʻich",
survey.experience.option.experienced,Контекстный опрос (/survey) — текст вопросов из data/tests/context_survey.json,Есть заметный опыт,Sezilarli tajriba bor,
survey.skills_text.text,Контекстный опрос (/survey) — текст вопросов из data/tests/context_survey.json,"Опишите свои навыки или опыт, если есть (необязательно)",Tajribangiz yoki nimalarni qila olishingiz haqida yozing (majburiy emas),
survey.interests_text.text,Контекстный опрос (/survey) — текст вопросов из data/tests/context_survey.json,Что вам нравится делать? Чем вы увлекаетесь? (необязательно),Nima qilishni yoqtirasiz? Nimalarga qiziqasiz? (majburiy emas),
survey.goal_fork.title,Контекстный опрос (/survey) — текст вопросов из data/tests/context_survey.json,Ваша цель,Maqsadingiz,
survey.path_type.text,Контекстный опрос (/survey) — текст вопросов из data/tests/context_survey.json,"Знаете ли вы, кем хотите стать / какую цель хотите достичь?",Kim boʻlishni yoki qanday maqsadga erishishni xohlashingizni bilasizmi?,
survey.path_type.option.knows_goal,Контекстный опрос (/survey) — текст вопросов из data/tests/context_survey.json,"Да, у меня есть цель","Ha, maqsadim bor",
survey.path_type.option.no_goal,Контекстный опрос (/survey) — текст вопросов из data/tests/context_survey.json,"Нет, хочу разобраться","Yoʻq, buni aniqlab olmoqchiman",
survey.goal_details.title,Контекстный опрос (/survey) — текст вопросов из data/tests/context_survey.json,Подробнее о цели,Maqsad haqida batafsil,
survey.goal_text.text,Контекстный опрос (/survey) — текст вопросов из data/tests/context_survey.json,Опишите свою цель своими словами,Maqsadingizni oʻz soʻzlaringiz bilan yozing,
survey.desired_income.text,Контекстный опрос (/survey) — текст вопросов из data/tests/context_survey.json,Какой доход в месяц вы хотите в будущем?,Kelajakda oyiga qancha daromad olishni xohlaysiz?,
survey.desired_income.option.<5m,Контекстный опрос (/survey) — текст вопросов из data/tests/context_survey.json,До 5 млн сум,5 mln soʻmgacha,
survey.desired_income.option.5-10m,Контекстный опрос (/survey) — текст вопросов из data/tests/context_survey.json,5–10 млн сум,5–10 mln soʻm,
survey.desired_income.option.10-20m,Контекстный опрос (/survey) — текст вопросов из data/tests/context_survey.json,10–20 млн сум,10–20 mln soʻm,
survey.desired_income.option.20-50m,Контекстный опрос (/survey) — текст вопросов из data/tests/context_survey.json,20–50 млн сум,20–50 mln soʻm,
survey.desired_income.option.50m+,Контекстный опрос (/survey) — текст вопросов из data/tests/context_survey.json,Более 50 млн сум,50 mln soʻmdan koʻp,
survey.employment_type.text,Контекстный опрос (/survey) — текст вопросов из data/tests/context_survey.json,Какой формат работы вам ближе?,Qanday ishlash sizga yaqinroq?,
survey.employment_type.option.employee,Контекстный опрос (/survey) — текст вопросов из data/tests/context_survey.json,Найм в компании,Kompaniyada ishlash,
survey.employment_type.option.gov,Контекстный опрос (/survey) — текст вопросов из data/tests/context_survey.json,Госслужба,Davlat xizmati,
survey.employment_type.option.business,Контекстный опрос (/survey) — текст вопросов из data/tests/context_survey.json,Свой бизнес,Oʻz biznesi,
survey.employment_type.option.freelance,Контекстный опрос (/survey) — текст вопросов из data/tests/context_survey.json,Фриланс / удалёнка,Frilans / masofaviy,
survey.employment_type.option.unsure,Контекстный опрос (/survey) — текст вопросов из data/tests/context_survey.json,Пока не знаю,Hali bilmayman,
survey.timeframe.text,Контекстный опрос (/survey) — текст вопросов из data/tests/context_survey.json,За какой срок вы хотите достичь цели?,Maqsadingizga qancha vaqtda erishmoqchisiz?,
survey.timeframe.option.1y,Контекстный опрос (/survey) — текст вопросов из data/tests/context_survey.json,Около года,Taxminan bir yil,
survey.timeframe.option.2-3y,Контекстный опрос (/survey) — текст вопросов из data/tests/context_survey.json,2–3 года,2–3 yil,
survey.timeframe.option.3-5y,Контекстный опрос (/survey) — текст вопросов из data/tests/context_survey.json,3–5 лет,3–5 yil,
survey.timeframe.option.5y+,Контекстный опрос (/survey) — текст вопросов из data/tests/context_survey.json,Более 5 лет,5 yildan koʻp,
survey.risk.text,Контекстный опрос (/survey) — текст вопросов из data/tests/context_survey.json,Как вы относитесь к риску?,Tavakkalga qanday qaraysiz?,
survey.risk.option.low,Контекстный опрос (/survey) — текст вопросов из data/tests/context_survey.json,Низкий: стабильность важнее,Past: barqarorlik muhimroq,
survey.risk.option.medium,Контекстный опрос (/survey) — текст вопросов из data/tests/context_survey.json,Средний: готов на разумный риск,Oʻrta: oqilona tavakkalga tayyorman,
survey.risk.option.high,Контекстный опрос (/survey) — текст вопросов из data/tests/context_survey.json,Высокий: готов рисковать ради большего,Yuqori: koʻproq uchun tavakkal qilaman,
survey.lifestyle.text,Контекстный опрос (/survey) — текст вопросов из data/tests/context_survey.json,Что для вас важно в образе жизни? (можно несколько),Hayot tarzida siz uchun nima muhim? (bir nechtasini tanlash mumkin),
survey.lifestyle.option.flexible,Контекстный опрос (/survey) — текст вопросов из data/tests/context_survey.json,Свободный график,Erkin jadval,
survey.lifestyle.option.stable,Контекстный опрос (/survey) — текст вопросов из data/tests/context_survey.json,Стабильный график,Barqaror jadval,
survey.lifestyle.option.remote,Контекстный опрос (/survey) — текст вопросов из data/tests/context_survey.json,Удалёнка / путешествия,Masofaviy / sayohat,
survey.lifestyle.option.fast_growth,Контекстный опрос (/survey) — текст вопросов из data/tests/context_survey.json,Быстрый карьерный рост,Tez martaba oʻsishi,
survey.lifestyle.option.balance,Контекстный опрос (/survey) — текст вопросов из data/tests/context_survey.json,Спокойствие и баланс,Xotirjamlik va muvozanat,
test.big_five.answer.1,Вопросы тестов (/test) — из data/tests/*.json,Совершенно не про меня / полностью не согласен,Umuman men haqimda emas,
test.big_five.answer.2,Вопросы тестов (/test) — из data/tests/*.json,Скорее не про меня,Koʻproq men haqimda emas,
test.big_five.answer.3,Вопросы тестов (/test) — из data/tests/*.json,Нейтрально / затрудняюсь ответить,Neytral,
test.big_five.answer.4,Вопросы тестов (/test) — из data/tests/*.json,Скорее про меня,Koʻproq men haqimda,
test.big_five.answer.5,Вопросы тестов (/test) — из data/tests/*.json,Полностью про меня / полностью согласен,Toʻliq men haqimda,
test.big_five.q1,Вопросы тестов (/test) — из data/tests/*.json,Часто беспокоюсь по пустякам.,Arzimagan narsalar tufayli tez-tez xavotirlanaman.,
test.big_five.q2,Вопросы тестов (/test) — из data/tests/*.json,В большинстве ситуаций чувствую себя спокойно и расслабленно.,Koʻp vaziyatlarda oʻzimni xotirjam va boʻshashgan his qilaman.,
test.big_five.q3,Вопросы тестов (/test) — из data/tests/*.json,"Легко выхожу из себя, когда что-то идёт не по плану.","Biror narsa rejaga muvofiq boʻlmaganda, tez jahlim chiqadi.",
test.big_five.q4,Вопросы тестов (/test) — из data/tests/*.json,Обычно я сдержан даже в раздражающих ситуациях.,Odatda asabiylashtiradigan vaziyatlarda ham oʻzimni tuta olaman.,
test.big_five.q5,Вопросы тестов (/test) — из data/tests/*.json,Временами я чувствую себя совершенно подавленным.,Baʼzan oʻzimni butunlay ezilgan his qilaman.,
test.big_five.q6,Вопросы тестов (/test) — из data/tests/*.json,В целом я доволен своей жизнью и работой.,"Umuman olganda, hayotim va ishimdan qoniqqanman.",
test.big_five.q7,Вопросы тестов (/test) — из data/tests/*.json,В присутствии незнакомых людей я чувствую себя неловко.,Notanish odamlar oldida oʻzimni noqulay his qilaman.,
test.big_five.q8,Вопросы тестов (/test) — из data/tests/*.json,"Меня не беспокоит, что обо мне думают окружающие.",Atrofdagilar men haqimda nima deb oʻylashini bilish meni bezovta qilmaydi.,
test.big_five.q9,Вопросы тестов (/test) — из data/tests/*.json,"Мне сложно устоять перед соблазнами, даже когда я знаю, что это во вред.",Zararli ekanligini bilsam ham vasvasalarga qarshilik qilish menga qiyin.,
test.big_five.q10,Вопросы тестов (/test) — из data/tests/*.json,Я хорошо контролирую свои импульсивные желания.,Men oʻzining impulsiv istaklarini yaxshi nazorat qilaman.,
test.big_five.q11,Вопросы тестов (/test) — из data/tests/*.json,"В стрессовых ситуациях я нередко теряюсь и не знаю, что делать.",Stressli vaziyatlarda koʻpincha adashib qolaman va nima qilishni bilmayman.,
test.big_five.q12,Вопросы тестов (/test) — из data/tests/*.json,Я сохраняю ясность мышления даже под значительным давлением.,Sezilarli bosim ostida ham fikrning ravshanligini saqlab qolaman.,
test.big_five.q13,Вопросы тестов (/test) — из data/tests/*.json,Я легко схожусь с новыми людьми.,Yangi odamlar bilan osongina til topishaman.,
test.big_five.q14,Вопросы тестов (/test) — из data/tests/*.json,"Мне требуется немало времени, чтобы почувствовать себя комфортно с незнакомцами.",Notanish odamlar bilan qulay his qilish uchun menga koʻp vaqt kerak.,
test.big_five.q15,Вопросы тестов (/test) — из data/tests/*.json,Мне нравится бывать на многолюдных мероприятиях.,Koʻp odamlar qatnashadigan tadbirlarda boʻlishni yaxshi koʻraman.,
test.big_five.q16,Вопросы тестов (/test) — из data/tests/*.json,Я предпочитаю небольшие компании большим собраниям.,Katta yigʻilishlarga qaraganda kichik kompaniyalarni afzal koʻraman.,
test.big_five.q17,Вопросы тестов (/test) — из data/tests/*.json,"В групповых обсуждениях я, как правило, беру слово первым.",Guruhiy muhokamalar paytida odatda birinchi boʻlib soʻz olaman.,
test.big_five.q18,Вопросы тестов (/test) — из data/tests/*.json,"Я предпочитаю уступать инициативу другим, а не брать её на себя.",Tashabbusni oʻzimga olishdan koʻra uni boshqalarga berishni afzal koʻraman.,
test.big_five.q19,Вопросы тестов (/test) — из data/tests/*.json,Я обычно занят и веду активный образ жизни.,Men odatda band boʻlaman va faol hayot tarzini olib boraman.,
test.big_five.q20,Вопросы тестов (/test) — из data/tests/*.json,Мне нравится не спешить и работать в спокойном темпе.,Shoshilmaslik va tinch surʼatda ishlashni yaxshi koʻraman.,
test.big_five.q21,Вопросы тестов (/test) — из data/tests/*.json,"Меня привлекают ситуации, связанные с определённым риском и адреналином.",Maʼlum xavf va adrenalin bilan bogʻliq vaziyatlar meni jalb qiladi.,
test.big_five.q22,Вопросы тестов (/test) — из data/tests/*.json,Я предпочитаю предсказуемость и стабильность острым ощущениям.,Men oʻtkir hissiyotlardan koʻra bashorat qilinish va barqarorlikni afzal koʻraman.,
test.big_five.q23,Вопросы тестов (/test) — из data/tests/*.json,Большую часть времени я настроен оптимистично и радостно.,Koʻp vaqt davomida optimistik va quvnoq kayfiyatdaman.,
test.big_five.q24,Вопросы тестов (/test) — из data/tests/*.json,Я редко испытываю искренний энтузиазм или воодушевление.,Men kamdan-kam chin entuziastlik yoki ilhom his qilaman.,
test.big_five.q25,Вопросы тестов (/test) — из data/tests/*.json,"Я склонен доверять людям, пока они не дадут мне повод усомниться в них.","Odamlar menga shubha qilish uchun sabab bermaguncha, ularga ishonishga moyilman.",
test.big_five.q26,Вопросы тестов (/test) — из data/tests/*.json,"Мне кажется, что большинство людей преследуют скрытые интересы.",Koʻpchilik odamlar yashirin manfaatlarni koʻzlaydigan koʻrinadi.,
test.big_five.q27,Вопросы тестов (/test) — из data/tests/*.json,"Я считаю, что честность важна даже тогда, когда правда неудобна.",Haqiqat noqulay boʻlgan paytda ham halollik muhim deb hisoblayman.,
test.big_five.q28,Вопросы тестов (/test) — из data/tests/*.json,Иногда небольшая ложь во благо вполне оправдана.,Baʼzan ezgulik uchun kichik yolgʻon toʻliq oqlangan.,
test.big_five.q29,Вопросы тестов (/test) — из data/tests/*.json,"Мне приносит удовольствие помогать другим, даже если это требует усилий.","Harakat talab qilsa ham, boshqalarga yordam berish menga zavq beradi.",
test.big_five.q30,Вопросы тестов (/test) — из data/tests/*.json,"Я считаю, что каждый должен решать свои проблемы самостоятельно.",Har kim oʻz muammolarini mustaqil hal qilishi kerak deb hisoblayman.,
test.big_five.q31,Вопросы тестов (/test) — из data/tests/*.json,"Я стараюсь находить компромисс, когда возникают разногласия.",Kelishmovchiliklar yuzaga kelganda murosaga erishishga harakat qilaman.,
test.big_five.q32,Вопросы тестов (/test) — из data/tests/*.json,"В споре я настаиваю на своём, пока не убеждён в правоте оппонента.",Tortishuvda raqibimning haqligiga ishonmaguncha oʻz fikrimda turaman.,
test.big_five.q33,Вопросы тестов (/test) — из data/tests/*.json,Я не склонен выставлять свои достижения напоказ.,Men oʻz yutuqlarimni namoyish qilishga moyil emasman.,
test.big_five.q34,Вопросы тестов (/test) — из data/tests/*.json,"Я заслуживаю большего признания, чем обычно получаю.",Men odatda olayotganimdan koʻra koʻproq tan olinishga loyiqman.,
test.big_five.q35,Вопросы тестов (/test) — из data/tests/*.json,"Чужая боль отзывается во мне так, словно это моя собственная.",Begonaning ogʻrigʻi goʻyo oʻzimnikinday ichimda aks-sado beradi.,
test.big_five.q36,Вопросы тестов (/test) — из data/tests/*.json,Меня мало трогают чужие жалобы — каждый сам строит свою судьбу.,Boshqalarning shikoyatlari meni unchalik qiynaltiravermaydi — har kim oʻz taqdirini oʻzi qurar.,
test.big_five.q37,Вопросы тестов (/test) — из data/tests/*.json,Я уверен в своей способности справляться со сложными задачами.,Murakkab vazifalarni bajarish qobiliyatimga ishonaman.,
test.big_five.q38,Вопросы тестов (/test) — из data/tests/*.json,"Столкнувшись с трудным заданием, я нередко сомневаюсь в своих силах.","Qiyin vazifa bilan toʻqnashganda, koʻpincha oʻz kuchimga shubha qilaman.",
test.big_five.q39,Вопросы тестов (/test) — из data/tests/*.json,На моём рабочем месте всегда поддерживается порядок.,Mening ish joyimda doim tartib saqlanadi.,
test.big_five.q40,Вопросы тестов (/test) — из data/tests/*.json,Мне сложно поддерживать порядок в документах и файлах.,Hujjatlar va fayllarda tartibni saqlash menga qiyin.,
test.big_five.q41,Вопросы тестов (/test) — из data/tests/*.json,"Я выполняю взятые на себя обязательства, даже если это неудобно.","Noqulay boʻlsa ham, oʻz zimmamdagi majburiyatlarni bajaraman.",
test.big_five.q42,Вопросы тестов (/test) — из data/tests/*.json,"Иногда я нарушаю правила, если считаю их излишними.","Baʼzan qoidalarni ortiqcha deb hisoblasam, ularni buzaman.",
test.big_five.q43,Вопросы тестов (/test) — из data/tests/*.json,Я ставлю перед собой амбициозные цели и прилагаю усилия для их достижения.,Men oʻz oldimga ambitsiyali maqsadlar qoʻyaman va ularga erishish uchun harakat qilaman.,
test.big_five.q44,Вопросы тестов (/test) — из data/tests/*.json,Мне достаточно выполнять работу на приемлемом уровне — перфекционизм меня не привлекает.,Menga ishni qabul qilinadigan darajada bajarish yetarli — perfektsionizm meni oʻziga tortmaydi.,
test.big_five.q45,Вопросы тестов (/test) — из data/tests/*.json,"Я придерживаюсь намеченного плана, даже когда хочется отложить дело.","Ishni keyinga qoldirmoqchi boʻlsam ham, belgilangan rejaga amal qilaman.",
test.big_five.q46,Вопросы тестов (/test) — из data/tests/*.json,"Мне трудно заставить себя взяться за задачу, которая кажется скучной.",Zerikarli koʻrinadigan vazifaga kirishishga oʻzimni majburlash menga qiyin.,
test.big_five.q47,Вопросы тестов (/test) — из data/tests/*.json,"Прежде чем действовать, я тщательно обдумываю возможные последствия.",Harakat qilishdan oldin mumkin boʻlgan oqibatlarni puxta oʻylab koʻraman.,
test.big_five.q48,Вопросы тестов (/test) — из data/tests/*.json,"Я нередко принимаю решения импульсивно, не задумываясь о последствиях.",Koʻpincha oqibatlarni oʻylamasdan impulsiv qarorlar qabul qilaman.,
test.big_five.q49,Вопросы тестов (/test) — из data/tests/*.json,"У меня богатое воображение, и я часто погружаюсь в собственные фантазии.",Mening kuchli tasavvurim bor va tez-tez oʻz xayollarimga choʻmib ketaman.,
test.big_five.q50,Вопросы тестов (/test) — из data/tests/*.json,"Я предпочитаю факты и реальность, а не абстрактные идеи и фантазии.",Abstrakt gʻoyalar va xayollardan koʻra faktlar va haqiqatni afzal koʻraman.,
test.big_five.q51,Вопросы тестов (/test) — из data/tests/*.json,"Меня глубоко трогает музыка, живопись или литература.","Musiqa, rassomlik yoki adabiyot meni chuqur taʼsirlantiradi.",
test.big_five.q52,Вопросы тестов (/test) — из data/tests/*.json,Я редко нахожу время или интерес для занятий искусством или культурой.,Sanʼat yoki madaniyat bilan shugʻullanish uchun kamdan-kam vaqt yoki qiziqish topaman.,
test.big_five.q53,Вопросы тестов (/test) — из data/tests/*.json,"Я хорошо осознаю свои эмоции и понимаю, что именно их вызывает.",Oʻz his-tuygʻularimni yaxshi anglayman va ularni nima keltirib chiqarishini tushunaman.,
test.big_five.q54,Вопросы тестов (/test) — из data/tests/*.json,Я редко задумываюсь о своих внутренних переживаниях.,Oʻz ichki kechinmalarim haqida kamdan-kam oʻylayman.,
test.big_five.q55,Вопросы тестов (/test) — из data/tests/*.json,"Я охотно пробую новые виды деятельности, даже если не знаю, чего ожидать.","Nima kutishni bilmasam ham, yangi faoliyat turlarini xursandchilik bilan sinab koʻraman.",
test.big_five.q56,Вопросы тестов (/test) — из data/tests/*.json,Я предпочитаю привычные маршруты и устоявшийся распорядок новым экспериментам.,Yangi tajribalardan koʻra tanish yoʻnalishlar va oʻrnatilgan tartibni afzal koʻraman.,
test.big_five.q57,Вопросы тестов (/test) — из data/tests/*.json,Мне нравится размышлять над сложными философскими или научными вопросами.,Murakkab falsafiy yoki ilmiy savollar ustida oʻylashni yaxshi koʻraman.,
test.big_five.q58,Вопросы тестов (/test) — из data/tests/*.json,Абстрактные теоретические дискуссии меня быстро утомляют.,Abstrakt nazariy munozaralar meni tez charchatadi.,
test.big_five.q59,Вопросы тестов (/test) — из data/tests/*.json,"Я считаю, что общественные нормы должны меняться вместе с развитием общества.",Jamiyat meʼyorlari jamiyat rivojlanishi bilan birga oʻzgarishi kerak deb hisoblayman.,
test.big_five.q60,Вопросы тестов (/test) — из data/tests/*.json,"Мне кажется, что проверенные временем традиции важнее новомодных идей.",Vaqt sinovidan oʻtgan anʼanalar yangi moda gʻoyalardan muhimroq koʻrinadi.,
test.riasec.answer.1,Вопросы тестов (/test) — из data/tests/*.json,Совсем не интересно,Umuman qiziq emas,
test.riasec.answer.2,Вопросы тестов (/test) — из data/tests/*.json,Скорее не интересно,Koʻproq qiziq emas,
test.riasec.answer.3,Вопросы тестов (/test) — из data/tests/*.json,Нейтрально,Neytral,
test.riasec.answer.4,Вопросы тестов (/test) — из data/tests/*.json,Скорее интересно,Koʻproq qiziqarli,
